編號,韓文,羅馬拼音,中文,英文
2001,화학,hwahak,化學,Chemistry
2002,활발하다,hwalbalhada,活潑、活躍,"Be lively, sprightly"
2003,가리다,garida,堆積、堆放、遮蔽,Pile up or stack up or heap up
2004,거칠다,geochilda,粗糙、粗暴、荒涼,Coarse (texture) or wild (behavior) or (rain and wind) rough or wild
2005,그나마,geunama,儘管如此、好在、幸好,Even though or nevertheless
2006,껍질,kkeopjil,皮、外殼、外皮,Skin or nutshell
2007,남부,nambu,南部、南方,The south part
2008,명령,myeongryeong,命令、指示,"An order,command"
2009,몰래,molrae,偷偷地、暗暗地,"secretly,quietly"
2010,무조건,mujogeon,無條件地、盲目地,Unconditional
2011,반장,banjang,班長、組長,Squad leader
2012,부근,bugeun,附近、周圍,"neighborhood,vicinity"
2013,선택,seontaek,選擇、抉擇,A choice
2014,역사가,yeoksaga,歷史學家,Historian
2015,연구자,yeonguja,研究人員、研究者,Researcher
2016,연기자,yeongija,演員、表演者,"A performer, an actor"
2017,조그맣다,jogeumata,小巧、矮小、微小,"Be tiny,small"
2018,줄기,julgi,莖、樹幹、枝條,"A trunk, stem, stalk"
2019,찾아내다,chajanaeda,找出、查出、發現,"To find out, discover"
2020,토요일,toyoil,星期六、週六,Saturday
2021,경찰관,gyeongchalgwan,警察、警官,a policeman
2022,권하다,gwonhada,勸導、推薦、勸告,1) advise or persuade 2) recommend
2023,극장,geukjang,劇場、電影院、戲院,Theater or playhouse
2024,끝내,kkeunnae,終究、最終、到底,The end
2025,대문,daemun,大門,A big gate
2026,더욱이,deougi,何況、更加、況且,"Besides, moreover"
2027,별도,byeoldo,另外、特別、個別,A separate way
2028,비극,bigeuk,悲劇,A tragedy
2029,솜씨,somssi,手藝、技巧、本領,"skill,ability"
2030,시내,sinae,市區、市內 / 小溪,The city
2031,신,sin,興致、興奮、興頭,"joy,delight"
2032,실내,silnae,室內,In the room
2033,쏟다,ssotda,傾注、傾倒、傾瀉,To pour . 붓다
2034,연결하다,yeongyeolhada,連接、連繫,"Connect, attach"
2035,외교,oegyo,外交,Diplomacy
2036,주머니,jumeoni,口袋、荷包、錢袋,Pocket
2037,계약,gyeyak,契約、合約,Contract
2038,과장,gwajang,課長、處長 / 誇張,The department/section head
2039,극,geuk,戲劇、劇,Drama or play
2040,나란히,naranhi,並排、齊聲,"In a line, row"
2041,다방,dabang,茶館、咖啡廳,Tea room
2042,부끄럽다,bukkeureopda,害羞、慚愧、難為情,"Be shameful,disgraceful"
2043,성공,seonggong,成功,"success,achievement"
2044,수행하다,suhaenghada,執行、履行、完成,Accomplishment
2045,신청,sincheong,申請,"application,request"
2046,실로,silro,確實、實在、真正,"really,indeed"
2047,아픔,apeum,痛苦、痛楚,Pain
2048,알아듣다,aradeutda,聽懂、領會,To listen and comprehend
2049,약간,yakgan,稍微、些許、略微,"Some, a little"
2050,연기,yeongi,煙、煙霧,"Smoke, fume"
2051,이동,idong,移動、遷移,"movement,migration,drift"
2052,인연,inyeon,緣分、因緣,Cause and occasion
2053,일행,ilhaeng,同行者、一行人,"A party, a troupe; a row, a line"
2054,지도,jido,指導、引導,"Instruction, guidance"
2055,지식인,jisigin,知識分子,An intellectual
2056,진지하다,jinjihada,認真、嚴肅,"To be serious, earnest"
2057,치다,chida,算作、計算、當作,"to count, reckon, calculate"
2058,호흡,hoheup,呼吸、氣息,"Respiration, breath"
2059,흔들리다,heundeulrida,搖晃、動搖（被動）,"Shake, swing,rock,tremble"
2060,기온,gion,氣溫,Temperature
2061,날아가다,naragada,飛走、飛去,To fly away
2062,많아지다,manajida,變多、增加,Become a lot
2063,바위,bawi,岩石、礁石,"A rock, a crag"
2064,버릇,beoreut,習慣、習氣、毛病,Habit
2065,비판하다,bipanhada,批判、批評,To criticize
2066,빨갛다,ppalgata,鮮紅、通紅,"deep-red,crimson"
2067,세워지다,sewojida,被建立、豎立（被動）,To become erected
2068,술집,suljip,酒吧、酒館,Bar of some kind
2069,쉬다,swida,呼吸、喘氣,to breathe
2070,오랜만,oraenman,隔了許久、好久,After a long time
2071,일부러,ilbureo,特意、故意,"On purpose, intentionally"
2072,전체적,jeonchejeok,全體的、總體的,"entirely,generally"
2073,절반,jeolban,一半、半數,Half
2074,접근하다,jeopgeunhada,接近、靠近,"approach,get near"
2075,편안하다,pyeonanhada,平安、舒適、安寧,To be peaceful
2076,확실히,hwaksilhi,確實、明確地,"certainly,for sure"
2077,흩어지다,heuteojida,散開、分散,Scatter about
2078,갈다,galda,磨（刀）、研磨、榨（汁）,1) sharpen (a blade) 2) rub or chafe 3) make juice in a mixer
2079,교류,gyoryu,交流 / 交流電,Interchange (cultural) ; alternating current (electrical)
2080,글쓰기,geulsseugi,寫作、寫文章,Writing
2081,기후,gihu,氣候,Climate or weather
2082,내내,naenae,一直、始終,"All along, the entire time"
2083,대기업,daegieop,大企業、大集團,Big enterprise
2084,대응하다,daeeunghada,應對、對應,Cope or correspond to
2085,도구,dogu,工具、器具,"Tool, instrument"
2086,매력,maeryeok,魅力、吸引力,"fascination,charm, bewitchery"
2087,백,baek,數百、許多,Hundreds of
2088,보험,boheom,保險,"guarantee,insurance"
2089,부럽다,bureopda,羨慕、眼紅,Be enviable
2090,부장,bujang,部長、處長,Head of a department
2091,섞이다,seokkida,混合、摻雜（被動）,"To be mixed,blended"
2092,소,so,牛、黃牛,A cow
2093,심리,simri,心理,A mental state
2094,심정,simjeong,心情、心緒,"one’s heart, one’s feelings"
2095,쏘다,ssoda,發射、射擊 / 叮、螫,"(1) To shoot (2) to sting, bite (an insect, animal)"
2096,아줌마,ajumma,大嬸、阿姨,Old or married lady
2097,위치하다,wichihada,位於、坐落於,To be located
2098,이룩하다,irukhada,建立、成就、達成,"Erect, build"
2099,이틀,iteul,兩天、兩日,Two days
2100,전달하다,jeondalhada,傳達、轉達、傳遞,To deliver
2101,정말로,jeongmalro,真的、確實,Really
2102,추다,chuda,跳（舞）（춤을 추다）,To dance
2103,켜다,kyeoda,打開（電燈/電器）、點亮,"To light, turn on, kindle"
2104,코너,koneo,專櫃、角落、專欄,Corner
2105,행동하다,haengdonghada,行動、表現、行事,"To act, behave"
2106,형사,hyeongsa,刑事、刑警,"A criminal, penal case"
2107,희곡,huigok,戲劇、劇本,"A drama, a play"
2108,감동,gamdong,感動、觸動,Agitate or stir up the emotions
2109,공항,gonghang,機場、航空港,Airport
2110,군인,gunin,軍人,Sb in the military
2111,굳이,guji,硬要、非得、執意,Firmly or admanantly
2112,그늘,geuneul,樹蔭、陰涼處 / 庇護,1) shade 2)parental prodection
2113,급하다,geuphada,急迫、緊急、著急,Be urgent or pressing or iminent
2114,달걀,dalgyal,雞蛋,An egg
2115,대중문화,daejungmunhwa,大眾文化、流行文化,Pop culture
2116,마련되다,maryeondoeda,被準備、備妥（被動）,To be planned and arranged
2117,마루,maru,地板、客廳大廳,"A wooden floor, floor, flooring"
2118,무게,muge,重量、分量,Weight
2119,물기,mulgi,水分、水氣、濕氣,Moisture
2120,성적,seongjeok,成績、分數,"A result,grade"
2121,솔직히,soljikhi,坦白地、坦率地,"frankly,candidly"
2122,시도하다,sidohada,嘗試、試圖,"To try,attempt"
2123,아니요,aniyo,不是、不（敬語否定）,"No, that’s not the case"
2124,예절,yejeol,禮節、禮儀,"propriety,decorum"
2125,인상,insang,印象 / 面相,"Impression, imprint"
