編號,韓文,羅馬拼音,中文,英文
5001,상금,sanggeum,獎金、賞金,Prize money
5002,수저,sujeo,湯匙和筷子、餐具,A spoon
5003,식욕,sigyok,食慾、胃口,"appetite,desire"
5004,앞바다,apbada,近海、鄰近海域,The offing sea
5005,얄밉다,yalmipda,討人厭、令人反感,"Be offensive, mean"
5006,양상추,yangsangchu,結球萵苣、美生菜,Lettuce
5007,여대생,yeodaesaeng,女大學生,Female college student
5008,연기하다,yeongihada,推遲、延期,"To be put off, postponed"
5009,온라인,onrain,線上、網路,Online
5010,외갓집,oegatjip,外婆家、外祖家,one’s mother’s maiden home
5011,외할머니,oehalmeoni,外婆、外祖母,A maternal grandmother
5012,유능하다,yuneunghada,有才能、精明能幹,"To be competent,talented"
5013,유적지,yujeokji,遺址、古蹟所在地,Place where remains/cultural-historical remnants are
5014,음악가,eumakga,音樂家,A musician
5015,응답하다,eungdaphada,應答、回答,"An answer, a reply"
5016,이롭다,iropda,有益、有利,Be good for
5017,이분,ibun,二分、分成兩半,Divide into two
5018,인삼,insam,人參,Ginseng
5019,인상,insang,容貌、相貌、面相,"Look, personal appearance"
5020,입사,ipsa,入職、進公司,enter/join a company
5021,자,ja,尺、直尺,A ruler
5022,재활용,jaehwaryong,資源回收、再利用,Recycling
5023,점원,jeomwon,店員、店員銷售員,A shop-assistant
5024,제삿날,jesannal,祭日、祭祀之日,Day of the ceremony
5025,주름살,jureumsal,皺紋,Wrinkles
5026,참고하다,chamgohada,參考、參照,"To refer, consult"
5027,찻잔,chatjan,茶杯,A teacup
5028,철학적,cheolhakjeok,哲學性的、哲學的,Philosophical
5029,초대,chodae,初代、第一代、創立者,"The first generation, the founder"
5030,추천하다,chucheonhada,推薦,"To recommend, say a good word for"
5031,칫솔,chitsol,牙刷,A toothbrush
5032,큰길,keungil,大馬路、主幹道,main/principal road
5033,판매되다,panmaedoeda,被銷售、售出（被動）,To be sold
5034,편,pyeon,便利設施、交通班次,"Facilities, services"
5035,포근하다,pogeunhada,溫暖舒適、柔軟厚實,"To be soft and comfortable, downy"
5036,포도,podo,葡萄,grape(s)
5037,하나님,hananim,上帝、天主,God
5038,학력,hakryeok,學歷、學校教育背景,"Academic background, formal schooling"
5039,한정하다,hanjeonghada,限定、限制,"To limit, restrict"
5040,향상되다,hyangsangdoeda,獲得提升、改善（被動）,"To be impoved, advanced"
5041,홈페이지,hompeiji,首頁、官方網站,Homepage
5042,횡단보도,hoengdanbodo,斑馬線、行人穿越道,Crossing
5043,가톨릭,gatolrik,天主教,Catholic
5044,강당,gangdang,禮堂、講堂,A lecture hall
5045,건조하다,geonjohada,乾燥、枯燥,"Dry or arid, to become dry"
5046,걷기,geotgi,步行、走路,Walking
5047,고모부,gomobu,姑丈、姑父,The husband of one’s paternal aunt
5048,공중전화,gongjungjeonhwa,公共電話,A public payphone
5049,공통,gongtong,共通、共同,Commonness
5050,과거,gwageo,科舉、科舉考試,The state examination
5051,국가적,gukgajeok,國家級的、國家的,National or state
5052,귓속,gwitsok,耳內、耳朵內部,The inner ear
5053,그래픽,geuraepik,圖像、圖形,Graphic
5054,근교,geungyo,近郊、郊區,Suberbs
5055,기초적,gichojeok,基礎的、基本的,Fundamental or basic
5056,녹음,nogeum,錄音 / 綠蔭,Recording
5057,다양성,dayangseong,多樣性、多元性,Variety
5058,떠나오다,tteonaoda,離開而來、出發歸來,미국으로부터 to come back from the US
5059,마중,majung,迎接、迎候,"Meeting, reception"
