編號,韓文,羅馬拼音,中文,英文
3001,물러나다,mulreonada,退下、後退、退位,"Fall back, to pull back, to pull back your position"
3002,밀접하다,miljeophada,密切、緊密,"Be close,intimate with"
3003,부탁,butak,託付、拜託、請求,"request,favor"
3004,분량,bunryang,份量、分量,"quantity,measure"
3005,불과,bulgwa,只不過、僅僅,"Only, not more than"
3006,뻔하다,ppeonhada,明擺著、顯而易見,"Be clear,evident"
3007,상자,sangja,箱子、盒子,"A box,case"
3008,새해,saehae,新年、新春,A new year
3009,소박하다,sobakhada,樸素、淳樸,"simple, naive, ingenuous"
3010,수없이,sueopsi,無數地、數不清地,"Countless, innumerably"
3011,승진,seungjin,晉升、升職,"promotion,advancement"
3012,양,yang,兩者、雙方,"Both, two"
3013,얼음,eoreum,冰、冰塊,Ice
3014,열매,yeolmae,果實、成果,Fruit
3015,적히다,jeokhida,被記錄、被寫下（被動）,"To be recorded,written down"
3016,점수,jeomsu,分數、得分,"marks,the number of marks"
3017,제한되다,jehandoeda,受限、被限制（被動）,"To be restricted,limited"
3018,지속되다,jisokdoeda,持續、延續（被動）,"Be lasting a long time, be continous"
3019,쫓기다,jjotgida,被追逐、被催逼（被動）,"To be chased, be driven"
3020,쭉,jjuk,一直、連貫地,All the time
3021,통장,tongjang,存摺,A bankbook (check register)
3022,평가되다,pyeonggadoeda,被評價、被評估（被動）,To be appraised
3023,하도,hado,過於、實在太,"Too much, excessively"
3024,한창,hanchang,正盛、正值高潮,"The height, summit , the top"
3025,해안,haean,海岸、海濱,"The seashore, the coast"
3026,호박,hobak,南瓜 / 琥珀,Pumpkin
3027,흑인,heugin,黑人,A black person
3028,간,gan,肝、肝臟,Liver
3029,갇히다,gathida,被關押、被囚禁（被動）,Be confined or shut up
3030,결심하다,gyeolsimhada,下定決心、決意,To resolve or be determined
3031,경기장,gyeonggijang,體育場、競技場,Sports stadium or a sports field
3032,고장,gojang,故障、損壞 / 故鄉,Broken
3033,근로,geunro,勞動、勤勞,Labor or exertion
3034,눈동자,nundongja,瞳孔、眼珠,The pupil
3035,늦다,neutda,晚、遲到、延遲,"Be late, overdue"
3036,닥치다,dakchida,逼近、臨頭 / 閉嘴,Shut the mouth!
3037,도시락,dosirak,便當、飯盒,Lunchbox lunch
3038,몸짓,momjit,肢體動作、手勢,A gesture
3039,부담하다,budamhada,負擔、承擔,"bear,shoulder a responsibility"
3040,부회장,buhoejang,副會長、副總裁,A vice president
3041,빼앗다,ppaeatda,搶奪、奪取,"Snach, take away from"
3042,삼키다,samkida,吞嚥、吞下,Swallow
3043,성실하다,seongsilhada,誠實、真誠、踏實,"Be sincere, faithful, earnest"
3044,스튜디오,seutyudio,工作室、攝影棚,Studio
3045,실제,silje,實際、真相,"The truth, a fact"
